S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,Average,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,Average,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa,Average
-55.483741,-97.264091,-52.466819,-58.730506,-16.632034,-58.33451,-56.4852835,-2048.310333,-2023.447723,-2067.417038,-2008.064453,-2025.035568,-1995.330399,-2027.934252,1092.766052,1052.224671,1035.003235,1021.555115,1051.43512,1072.662293,1054.274414
-56.851387,-97.866432,-53.395927,-59.127754,-17.467529,-59.484642,-57.36561183,-2087.05854,-2056.274765,-2096.742767,-2035.845764,-2057.659897,-2031.306046,-2060.81463,1083.020081,1046.518616,1023.123108,1019.210754,1046.195007,1071.447205,1048.252462
-57.908912,-98.62371,-53.92089,-59.748695,-18.328605,-60.395011,-58.15430383,-2125.344688,-2088.880806,-2125.384796,-2064.717133,-2090.53688,-2068.282852,-2093.857859,1071.379456,1039.868347,1010.855652,1016.286072,1039.973816,1068.914734,1041.213013
-59.057212,-99.487953,-54.691581,-60.083915,-19.219551,-61.368202,-58.98473567,-2162.86124,-2121.63031,-2153.065277,-2094.438972,-2123.583382,-2106.118622,-2126.949634,1058.036682,1032.233948,998.408753,1013.493347,1032.82428,1064.3078,1033.217468
-60.252372,-100.273628,-55.417701,-60.610801,-19.832351,-62.378654,-59.79425117,-2199.654168,-2154.492268,-2180.268602,-2124.960991,-2157.285004,-2144.558254,-2160.203215,1043.090515,1023.67096,985.898377,1009.818421,1024.6474,1057.868225,1024.16565
-61.163612,-101.150672,-56.003608,-61.266975,-21.069053,-63.447807,-60.68362117,-2235.536449,-2187.467338,-2206.763279,-2156.442917,-2190.501781,-2183.399563,-2193.351888,1026.794983,1014.111755,973.101257,1005.501038,1015.270813,1049.603943,1014.063965
-62.878624,-101.99253,-56.600563,-61.992713,-21.723068,-64.549644,-61.622857,-2269.401543,-2220.54891,-2233.444542,-2188.847551,-2224.365425,-2222.442503,-2226.508412,1008.176209,1003.473694,960.50885,1000.412293,1005.013855,1039.479797,1002.844116
-63.971061,-103.049858,-57.195396,-62.69448,-22.674041,-65.729835,-62.55244517,-2302.89872,-2254.036274,-2259.878044,-2222.230022,-2258.184425,-2261.517162,-2259.790775,988.9953,991.88031,947.449158,994.360657,993.460999,1027.45636,990.600464
-65.042366,-104.253898,-57.601387,-63.088066,-23.528358,-66.931297,-63.407562,-2335.448196,-2287.298256,-2286.656746,-2256.340611,-2292.122253,-2300.512672,-2293.063122,968.843079,979.266174,934.585999,987.382019,980.725403,1013.342224,977.357483
-65.967903,-104.968132,-58.24369,-65.034233,-24.387916,-68.109489,-64.45189383,-2367.074432,-2320.802956,-2313.338776,-2291.968422,-2326.318108,-2339.39093,-2326.482271,947.684876,965.414002,921.555359,978.611145,966.875671,997.434143,962.9291993
-67.072105,-105.860649,-58.298225,-65.336616,-25.304275,-69.291084,-65.19382567,-2397.648529,-2354.220108,-2340.037796,-2328.211876,-2360.402023,-2378.00473,-2359.754177,926.082825,950.559143,908.814392,968.388611,951.697449,979.406555,947.4914958
-68.006477,-106.750984,-58.402671,-66.10839,-26.227554,-70.566993,-66.0105115,-2427.217453,-2387.770157,-2367.29509,-2365.358109,-2394.601318,-2416.244873,-2393.081167,903.815247,934.635193,895.534119,956.503357,935.32721,959.432434,930.8745933
-68.93888,-107.35485,-58.405891,-66.867881,-27.160102,-71.352897,-66.6800835,-2455.773529,-2421.035095,-2395.095306,-2403.148972,-2428.76474,-2453.320084,-2426.189621,881.226013,917.502258,882.270325,942.954163,917.716126,937.828674,913.2495932
-69.901634,-108.2537,-58.430885,-67.761451,-28.049339,-72.785438,-67.53040783,-2483.345032,-2454.670883,-2423.632523,-2441.446716,-2462.961548,-2490.337677,-2459.399063,858.247131,899.474304,868.914368,927.650452,898.788025,914.671326,894.6242677
