S1 X osa,S1 Y osa,S1 Z osa,S2 X osa,S2 Y osa,S2 Z osa,S3 X osa,S3 Y osa,S3 Z osa,S4 X osa,S4 Y osa,S4 Z osa,S5 X osa,S5 Y osa,S5 Z osa,S6 X osa,S6 Y osa,S6 Z osa
486.254919,-37.41687000000002,117.96130399999993,514.487331,19.048827999999958,113.14685099999997,491.066,-13.354736000000003,61.969605,548.082393,-2.037475000000086,79.02966300000003,530.289875,-51.89782700000001,77.56188999999995,540.153217,-24.717529000000013,125.17773399999987
491.554275,-40.596678999999995,121.25402800000006,521.685888,14.881470000000036,116.62048299999992,497.442368,-16.914062000000058,65.13745100000006,554.749649,-7.337401999999884,82.61425800000006,535.395651,-56.34191899999996,81.23364300000003,545.845184,-29.60400400000003,128.652832
496.432998,-43.97961400000008,124.49169899999993,528.255211,10.301026000000093,119.852173,503.192669,-20.904663000000028,68.0013429999999,560.772457,-12.534057000000075,86.23193399999991,539.980423,-61.277221000000054,84.40344200000004,550.750507,-35.115111999999954,132.16748099999995
500.793861,-47.62475500000005,127.57824699999992,534.465551,6.4799809999999525,123.87622099999999,508.678475,-23.452391999999918,72.14123500000005,564.838936,-12.598265999999967,94.37463400000001,544.368992,-65.73181099999988,87.85022000000004,555.356155,-40.16393999999991,135.67492700000003
504.777429,-51.49670399999991,130.40820299999996,539.3601,1.2158210000000054,126.84387199999992,513.650846,-27.27844200000004,75.11608899999987,571.228378,-22.827635999999984,93.4426269999999,548.238216,-70.3267820000001,90.961548,559.451477,-45.29760699999997,139.01538099999993
508.349713,-55.506468999999925,133.09350599999993,544.067577,-3.468016999999918,130.26538099999993,518.207599,-31.07458500000007,78.06140099999993,575.759888,-27.972533999999996,96.9692379999999,551.84528,-74.97106899999994,93.95056199999999,563.117157,-50.5058590000001,142.27856500000007
511.514896,-59.47558600000002,135.590332,548.36243,-8.221557000000075,133.5135499999999,522.47805,-34.30456499999991,80.57202200000006,579.891846,-33.07800300000008,100.35058600000002,554.973953,-79.60302699999988,96.78417999999988,566.363197,-55.614012999999886,145.410523
514.341313,-63.4582519999999,137.844605,552.234001,-13.000487999999905,136.60790999999995,526.48377,-38.04333500000007,82.98364300000003,583.639671,-38.201782000000094,103.64038099999993,558.001072,-84.1777340000001,99.46972699999992,569.122963,-60.77172799999994,148.35974099999999
516.838726,-67.37341300000003,139.89282200000002,555.850475,-17.733885999999984,139.42517099999986,530.23982,-42.232054999999946,85.15185599999995,587.387504,-42.85217199999988,107.24926800000003,560.889885,-88.55517499999996,102.26306199999999,571.590805,-65.82580499999995,151.06921399999987
519.052555,-71.151611,141.76391599999988,559.256981,-22.464111000000003,141.99816899999996,533.765951,-46.3660890000001,87.12707499999988,590.558876,-47.978515000000016,110.2166749999999,562.968326,-93.43945299999996,104.28466800000001,573.769401,-70.9886469999999,153.4929199999999
